position_id	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	price_impact_bp	slippage_bp
41994	False	0	0	0	0	4	4	0	0	0
41999	True	-887272	887272	0	0	2	1	100	50	50
41929	True	-887272	887272	0	0	8	6	100	50	50
42047	True	-887272	887272	0	0	0	0	2500	2500	300
42048	True	-887272	887272	0	0	0	0	100	50	50
42165	False	0	0	0	0	1	1	0	0	0
42212	True	-887272	887272	0	0	0	0	2500	2500	300
42215	True	-887272	887272	0	0	0	0	100	50	50
42267	True	-887272	887272	0	0	1	1	100	50	50
42314	False	0	0	0	0	0	0	0	0	0
37653	False	0	0	0	0	0	0	0	0	0
42355	True	-887272	887272	0	0	0	0	100	50	50
42366	True	-887272	887272	0	0	5	4	300	100	100
42388	False	0	0	0	0	1	1	0	0	0
39840	False	0	0	0	0	0	0	0	0	0
39840	True	-887272	887272	0	0	0	1	100	50	50
39840	True	-887272	887272	0	0	0	1	100	50	50
37157	False	0	0	0	0	0	0	0	0	0
42435	True	-887272	887272	0	0	0	0	2500	2500	300
37157	False	0	0	0	0	0	0	0	0	0
37157	True	-887272	887272	0	0	27	2	100	50	50
37157	True	-887272	887272	0	0	27	2	100	50	50
42466	True	-887272	887272	0	0	0	0	100	50	50
41994	False	0	0	0	0	0	0	0	0	0
41994	True	-887272	887272	0	0	5	3	1000	500	500
42506	True	-887272	887272	0	0	0	0	100	50	50
42524	False	0	0	0	0	0	0	0	0	0
42806	False	0	0	0	0	0	0	0	0	0
42846	True	-887272	887272	0	0	4	3	100	50	50
42865	True	-887272	887272	0	0	4	3	100	50	50
43194	True	-887272	887272	0	0	27	2	100	50	50
43330	True	-887272	887272	0	0	0	0	2500	2500	300
6678	False	0	0	0	0	0	0	0	0	0
43389	False	0	0	0	0	0	0	0	0	0
43392	True	-887272	887272	0	0	0	0	2500	2500	300
43414	True	-887272	887272	0	0	0	0	100	50	50
43389	False	0	0	0	0	0	0	0	0	0
42388	False	0	0	0	0	0	0	0	0	0
43447	False	0	0	0	0	1	1	0	0	0
43452	True	-887272	887272	0	0	0	0	2500	2500	300
43389	True	-887272	887272	0	0	0	0	100	100	50
42430	False	0	0	0	0	0	0	0	0	0
43467	True	-887272	887272	0	0	0	0	2500	2500	300
43470	False	0	0	0	0	2	1	0	0	0
43475	True	-887272	887272	0	0	0	0	100	50	50
43389	True	-887272	887272	0	0	0	0	100	300	50
43478	True	-887272	887272	0	0	5	4	100	50	50
43493	True	-887272	887272	0	0	0	0	100	300	50
43726	True	-887272	887272	0	0	1	1	100	50	50
43732	True	-887272	887272	0	0	0	0	100	50	50
43733	True	-887272	887272	0	0	0	0	2500	2500	300
43734	True	-887272	887272	0	0	0	0	100	300	50
43753	True	-887272	887272	0	0	4	3	100	50	50
43774	True	-887272	887272	0	0	2	2	100	50	50
38077	False	0	0	0	0	0	0	0	0	0
43726	True	-887272	887272	0	0	1	1	100	50	50
43811	False	0	0	0	0	0	0	0	0	0
43820	True	-887272	887272	0	0	1	1	100	50	50
43826	False	0	0	0	0	0	0	0	0	0
43835	False	0	0	0	0	0	0	0	0	0
38234	False	0	0	0	0	0	0	0	0	0
43858	False	0	0	0	0	8	8	0	0	0
43447	False	0	0	0	0	0	0	0	0	0
43910	False	0	0	0	0	1	1	0	0	0
43916	True	-887272	887272	0	0	0	0	2500	2500	300
43928	True	-887272	887272	0	0	0	0	2500	2500	300
43957	True	-887272	887272	0	0	0	0	2500	2500	300
43989	True	-887272	887272	0	0	0	0	2500	2500	300
35452	False	0	0	0	0	0	0	0	0	0
35452	False	0	0	0	0	0	0	0	0	0
44086	True	-887272	887272	0	0	0	0	2500	2500	300
44087	True	-887272	887272	0	0	0	0	100	300	50
44115	True	-887272	887272	0	0	0	0	100	50	50
44136	True	-887272	887272	0	0	0	0	2500	2500	300
44163	True	-887272	887272	0	0	0	0	100	50	50
44165	True	-887272	887272	0	0	0	0	100	300	50
44168	True	-887272	887272	0	0	0	0	2500	2500	300
44193	True	-887272	887272	0	0	5	4	300	100	100
44195	True	-887272	887272	0	0	5	4	100	50	50
44207	False	0	0	0	0	0	0	0	0	0
37486	False	0	0	0	0	0	0	0	0	0
44213	True	-887272	887272	0	0	1	1	100	50	50
44216	True	-887272	887272	0	0	0	0	2500	2500	300
44213	True	-887272	887272	0	0	1	1	100	50	50
44213	True	-887272	887272	0	0	1	1	100	50	50
44165	True	-887272	887272	0	0	0	0	100	300	50
44267	True	-887272	887272	0	0	0	0	2500	2500	300
44277	True	-887272	887272	0	0	0	0	2500	2500	300
44313	True	-887272	887272	0	0	0	0	2500	2500	300
44324	True	-887272	887272	0	0	0	0	100	50	50
44333	False	0	0	0	0	0	0	0	0	0
44348	True	-887272	887272	0	0	1	1	100	50	50
44322	False	0	0	0	0	0	0	0	0	0
44388	True	-887272	887272	0	0	0	0	100	50	50
44394	True	-887272	887272	0	0	0	0	2500	2500	300
44388	True	-887272	887272	0	0	0	0	100	50	50
44340	False	0	0	0	0	0	0	0	0	0
44340	True	-887272	887272	0	0	0	0	100	100	100
44165	True	-887272	887272	0	0	0	0	100	300	50
44165	False	0	0	0	0	0	0	0	0	0
44165	True	-887272	887272	0	0	0	0	100	300	100
44591	True	-887272	887272	0	0	0	0	2500	2500	300
44611	False	0	0	0	0	0	0	0	0	0
38650	False	0	0	0	0	0	0	0	0	0
44620	False	0	0	0	0	0	0	0	0	0
44688	True	-887272	887272	0	0	1	0	100	50	50
44688	True	-887272	887272	0	0	1	0	100	50	50
44699	False	0	0	0	0	0	0	0	0	0
44716	False	0	0	0	0	0	0	0	0	0
44726	False	0	0	0	0	0	0	0	0	0
44734	False	0	0	0	0	10	9	0	0	0
44748	False	0	0	0	0	0	0	0	0	0
44726	False	0	0	0	0	0	0	0	0	0
44753	True	-887272	887272	0	0	0	0	2500	2500	300
44758	True	-887272	887272	0	0	0	0	2500	2500	300
44766	False	0	0	0	0	0	0	0	0	0
44767	True	-887272	887272	0	0	3	2	100	300	300
44773	False	0	0	0	0	0	0	0	0	0
44793	True	-887272	887272	0	0	0	0	100	100	100
44794	True	-887272	887272	0	0	0	0	100	50	50
44821	True	-887272	887272	0	0	0	0	100	50	50
44833	True	-887272	887272	0	0	0	0	100	50	50
44917	True	-887272	887272	0	0	0	0	2500	2500	300
44966	False	0	0	0	0	0	0	0	0	0
45019	True	-887272	887272	0	0	4	3	100	50	50
45055	True	-887272	887272	0	0	0	0	2500	2500	300
45117	False	0	0	0	0	0	0	0	0	0
44322	False	0	0	0	0	0	0	0	0	0
45336	True	-887272	887272	0	0	0	0	2500	2500	300
45340	True	-887272	887272	0	0	0	0	2500	2500	300
45354	True	-887272	887272	0	0	0	0	2500	2500	300
45374	False	0	0	0	0	0	0	0	0	0
45382	True	-887272	887272	0	0	0	0	2500	2500	300
45414	True	-887272	887272	0	0	0	0	2500	2500	300
45431	True	-887272	887272	0	0	0	0	2500	2500	300
45461	False	0	0	0	0	0	0	0	0	0
45461	True	-887272	887272	0	0	7	3	100	50	50
43826	False	0	0	0	0	0	0	0	0	0
45546	False	0	0	0	0	1	1	0	0	0
45562	False	0	0	0	0	0	0	0	0	0
45562	True	-887272	887272	0	0	2	1	100	50	50
45609	True	-887272	887272	0	0	4	3	100	50	50
45562	True	-887272	887272	0	0	2	1	100	50	50
45773	True	-887272	887272	0	0	5	4	100	50	50
45788	True	-887272	887272	0	0	0	0	2500	2500	300
40502	False	0	0	0	0	0	0	0	0	0
21761	False	0	0	0	0	0	0	0	0	0
46013	True	-887272	887272	0	0	0	0	100	300	100
46013	True	-887272	887272	0	0	0	0	100	300	100
43910	False	0	0	0	0	0	0	0	0	0
43470	False	0	0	0	0	0	0	0	0	0
47012	False	0	0	0	0	1	1	0	0	0
47016	False	0	0	0	0	1	1	0	0	0
41994	False	0	0	0	0	0	0	0	0	0
47253	True	-887272	887272	0	0	0	0	100	300	100
47272	True	-887272	887272	0	0	1	0	100	50	50
47308	True	-887272	887272	0	0	0	0	2500	2500	300
44833	True	-887272	887272	0	0	0	0	100	50	100
44793	True	-887272	887272	0	0	0	0	100	150	100
47322	True	-887272	887272	0	0	0	0	100	150	100
47326	True	-887272	887272	0	0	0	0	100	50	50
44833	True	-887272	887272	0	0	0	0	100	300	300
47329	True	-887272	887272	0	0	0	0	100	300	300
47329	True	-887272	887272	0	0	0	0	100	100	300
47272	True	-887272	887272	0	0	1	0	100	50	50
47272	True	-887272	887272	0	0	1	0	100	50	50
47386	False	0	0	0	0	0	0	0	0	0
47402	True	-887272	887272	0	0	0	0	2500	2500	300
47322	True	-887272	887272	0	0	0	0	100	150	100
47322	True	-887272	887272	0	0	0	0	100	150	100
45011	False	0	0	0	0	0	0	0	0	0
47643	False	0	0	0	0	2	1	0	0	0
48160	False	0	0	0	0	0	0	0	0	0
48374	True	-887272	887272	0	0	0	0	2500	2500	300
47016	False	0	0	0	0	0	0	0	0	0
35452	False	0	0	0	0	0	0	0	0	0
48434	False	0	0	0	0	0	0	0	0	0
47012	False	0	0	0	0	0	0	0	0	0
48440	False	0	0	0	0	0	0	0	0	0
47253	True	-887272	887272	0	0	0	0	100	300	100
45546	False	0	0	0	0	0	0	0	0	0
47322	True	-887272	887272	0	0	0	0	100	150	100
48573	False	0	0	0	0	0	0	0	0	0
48651	True	-887272	887272	0	0	0	0	100	100	300
48658	True	-887272	887272	0	0	0	0	100	150	100
48687	True	-887272	887272	0	0	0	0	100	300	100
48711	True	-887272	887272	0	0	0	0	2500	2500	300
48716	True	-887272	887272	0	0	0	0	100	50	50
48720	True	-887272	887272	0	0	0	0	2500	2500	300
48743	True	-887272	887272	0	0	0	0	2500	2500	300
48812	True	-887272	887272	0	0	0	0	2500	2500	300
49175	False	0	0	0	0	7	6	0	0	0
38650	False	0	0	0	0	0	0	0	0	0
49240	False	0	0	0	0	0	0	0	0	0
49246	False	0	0	0	0	0	0	0	0	0
49279	False	0	0	0	0	10	9	0	0	0
48658	True	-887272	887272	0	0	0	0	100	150	100
49286	True	-887272	887272	0	0	0	0	100	300	100
49288	True	-887272	887272	0	0	0	0	100	150	100
49293	True	-887272	887272	0	0	0	0	100	100	300
49293	True	-887272	887272	0	0	0	0	100	100	100
49381	True	-887272	887272	0	0	0	0	2500	2500	300
49446	True	-887272	887272	0	0	0	0	2500	2500	300
49466	True	-887272	887272	0	0	1	0	100	50	50
49466	True	-887272	887272	0	0	1	0	100	50	50
45374	False	0	0	0	0	0	0	0	0	0
49491	True	-887272	887272	0	0	2	1	100	50	50
49502	True	-887272	887272	0	0	0	0	2500	2500	300
49530	True	-887272	887272	0	0	0	0	2500	2500	300
49582	True	-887272	887272	0	0	0	0	2500	2500	300
49590	True	-887272	887272	0	0	0	0	2500	2500	300
49624	False	0	0	0	0	0	0	0	0	0
49651	True	-887272	887272	0	0	2	1	100	50	50
49696	True	-887272	887272	0	0	0	0	100	50	50
49723	False	0	0	0	0	0	0	0	0	0
49756	False	0	0	0	0	0	0	0	0	0
44944	False	0	0	0	0	0	0	0	0	0
49759	True	-887272	887272	0	0	5	6	100	50	50
49763	True	-887272	887272	0	0	2	1	100	50	50
49696	True	-887272	887272	0	0	0	0	100	50	50
49696	True	-887272	887272	0	0	0	0	100	50	50
48718	False	0	0	0	0	0	0	0	0	0
49843	False	0	0	0	0	2	1	0	0	0
49852	False	0	0	0	0	0	0	0	0	0
49926	True	-887272	887272	0	0	1	0	100	50	50
49936	False	0	0	0	0	0	0	0	0	0
49938	True	-887272	887272	0	0	0	0	100	50	50
49981	True	-887272	887272	0	0	3	2	100	50	50
49986	False	0	0	0	0	0	0	0	0	0
50007	False	0	0	0	0	1	0	0	0	0
50011	False	0	0	0	0	0	0	0	0	0
50048	False	0	0	0	0	0	0	0	0	0
50050	False	0	0	0	0	0	0	0	0	0
50079	False	0	0	0	0	0	0	0	0	0
50083	False	0	0	0	0	0	0	0	0	0
50085	False	0	0	0	0	0	0	0	0	0
50079	False	0	0	0	0	0	0	0	0	0
50162	True	-887272	887272	0	0	0	0	100	50	50
44322	False	0	0	0	0	0	0	0	0	0
50288	False	0	0	0	0	0	0	0	0	0
49936	True	-887272	887272	0	0	0	0	100	300	100
50349	False	0	0	0	0	0	0	0	0	0
50499	False	0	0	0	0	0	0	0	0	0
50515	False	0	0	0	0	0	0	0	0	0
50543	False	0	0	0	0	0	0	0	0	0
38813	False	0	0	0	0	0	0	0	0	0
50641	False	0	0	0	0	2	1	0	0	0
50644	False	0	0	0	0	1	0	0	0	0
50647	False	0	0	0	0	0	0	0	0	0
50644	True	-887272	887272	0	0	1	0	100	50	50
50695	False	0	0	0	0	0	0	0	0	0
50724	False	0	0	0	0	0	0	0	0	0
50757	False	0	0	0	0	0	0	0	0	0
48147	False	0	0	0	0	0	0	0	0	0
50774	False	0	0	0	0	2	1	0	0	0
50902	True	-887272	887272	0	0	0	0	2500	2500	300
50928	False	0	0	0	0	0	0	0	0	0
47012	False	0	0	0	0	0	0	0	0	0
50974	False	0	0	0	0	3	2	0	0	0
50976	False	0	0	0	0	2	2	0	0	0
51024	True	-887272	887272	0	0	2	1	100	50	50
51078	False	0	0	0	0	0	0	0	0	0
51184	True	-887272	887272	0	0	3	2	100	50	50
50085	True	-887272	887272	0	0	1	0	100	100	100
51250	True	-887272	887272	0	0	1	0	100	100	100
51180	False	0	0	0	0	0	0	0	0	0
51180	True	-887272	887272	0	0	0	0	100	50	50
51291	True	-887272	887272	0	0	0	0	2500	2500	300
51310	True	-887272	887272	0	0	0	0	2500	2500	300
41994	False	0	0	0	0	0	0	0	0	0
51407	False	0	0	0	0	4	4	0	0	0
51409	True	-887272	887272	0	0	0	0	100	300	100
51441	True	-887272	887272	0	0	0	0	2500	2500	300
51464	True	-887272	887272	0	0	1	0	100	100	100
51537	True	-887272	887272	0	0	0	0	100	300	100
51559	True	-887272	887272	0	0	0	0	100	300	100
51596	True	-887272	887272	0	0	1	1	100	100	100
11377	False	0	0	0	0	0	0	0	0	0
51702	False	0	0	0	0	16	15	0	0	0
51407	False	0	0	0	0	0	0	0	0	0
51713	False	0	0	0	0	5	4	0	0	0
51768	False	0	0	0	0	0	0	0	0	0
51770	False	0	0	0	0	0	0	0	0	0
50162	True	-887272	887272	0	0	0	0	100	50	50
51797	True	-887272	887272	0	0	0	0	100	100	100
52086	False	0	0	0	0	11	10	0	0	0
52088	False	0	0	0	0	14	13	0	0	0
52103	True	-887272	887272	0	0	0	0	100	100	100
52127	True	-887272	887272	0	0	3	2	100	50	50
50724	False	0	0	0	0	0	0	0	0	0
52216	False	0	0	0	0	8	8	0	0	0
52303	True	-887272	887272	0	0	0	0	100	100	100
52454	True	-887272	887272	0	0	0	0	2500	2500	300
52594	False	0	0	0	0	0	0	0	0	0
51559	True	-887272	887272	0	0	0	0	100	300	150
52631	False	0	0	0	0	9	8	0	0	0
52117	False	0	0	0	0	0	0	0	0	0
52694	False	0	0	0	0	4	3	0	0	0
52216	False	0	0	0	0	0	0	0	0	0
52830	False	0	0	0	0	5	4	0	0	0
52694	False	0	0	0	0	0	0	0	0	0
53071	False	0	0	0	0	4	3	0	0	0
53104	True	-887272	887272	0	0	1	2	100	50	50
53277	True	-887272	887272	0	0	2	2	100	50	50
53297	True	-887272	887272	0	0	7	6	100	50	50
53300	True	-887272	887272	0	0	4	3	100	50	50
53297	True	-887272	887272	0	0	7	6	100	50	50
53300	True	-887272	887272	0	0	4	3	100	50	50
53348	True	-887272	887272	0	0	6	5	100	50	50
51340	False	0	0	0	0	0	0	0	0	0
53604	False	0	0	0	0	1	0	0	0	0
53604	True	-887272	887272	0	0	1	0	100	50	50
53722	True	-887272	887272	0	0	0	0	100	300	150
53860	False	0	0	0	0	0	0	0	0	0
53939	False	0	0	0	0	20	19	0	0	0
53948	False	0	0	0	0	7	6	0	0	0
37633	False	0	0	0	0	0	0	0	0	0
51133	False	0	0	0	0	0	0	0	0	0
54349	False	0	0	0	0	12	11	0	0	0
54389	True	-887272	887272	0	0	1	0	100	50	50
54446	True	-887272	887272	0	0	0	0	100	300	150
51713	False	0	0	0	0	0	0	0	0	0
54499	False	0	0	0	0	5	4	0	0	0
54644	False	0	0	0	0	0	0	0	0	0
54648	False	0	0	0	0	0	0	0	0	0
54318	False	0	0	0	0	0	0	0	0	0
54661	False	0	0	0	0	3	3	0	0	0
54662	False	0	0	0	0	0	0	0	0	0
54683	True	-887272	887272	0	0	0	0	100	300	150
54684	False	0	0	0	0	1	0	0	0	0
54686	True	-887272	887272	0	0	0	0	100	300	150
54688	False	0	0	0	0	1	0	0	0	0
52453	False	0	0	0	0	0	0	0	0	0
54760	True	-887272	887272	0	0	2	2	100	50	50
54349	False	0	0	0	0	0	0	0	0	0
54855	False	0	0	0	0	10	9	0	0	0
54864	True	-887272	887272	0	0	0	0	100	300	150
54874	True	-887272	887272	0	0	2	2	100	50	50
54914	False	0	0	0	0	0	0	0	0	0
54661	False	0	0	0	0	0	0	0	0	0
54939	False	0	0	0	0	3	3	0	0	0
45374	False	0	0	0	0	0	0	0	0	0
55018	False	0	0	0	0	0	0	0	0	0
55086	False	0	0	0	0	0	0	0	0	0
54939	False	0	0	0	0	0	0	0	0	0
55285	False	0	0	0	0	5	4	0	0	0
55376	False	0	0	0	0	0	0	0	0	0
55768	False	0	0	0	0	0	0	0	0	0
55285	False	0	0	0	0	0	0	0	0	0
55780	False	0	0	0	0	0	0	0	0	0
56037	False	0	0	0	0	0	0	0	0	0
56163	True	-887272	887272	0	0	1	0	100	50	50
56233	True	-887272	887272	0	0	2	1	100	50	50
56432	True	-887272	887272	0	0	2	1	500	50	50
56524	False	0	0	0	0	0	0	0	0	0
56563	True	-887272	887272	0	0	1	1	100	50	50
55786	False	0	0	0	0	0	0	0	0	0
56679	False	0	0	0	0	0	0	0	0	0
56763	False	0	0	0	0	4	3	0	0	0
56763	True	-887272	887272	0	0	4	3	1000	50	50
56889	False	0	0	0	0	0	0	0	0	0
56943	False	0	0	0	0	32	31	0	0	0
54499	False	0	0	0	0	0	0	0	0	0
56967	False	0	0	0	0	6	5	0	0	0
57200	False	0	0	0	0	0	0	0	0	0
56614	False	0	0	0	0	0	0	0	0	0
57228	False	0	0	0	0	5	5	0	0	0
57279	False	0	0	0	0	0	0	0	0	0
57294	True	-887272	887272	0	0	1	0	100	50	50
57364	True	-887272	887272	0	0	4	3	100	50	50
57370	True	-887272	887272	0	0	6	5	100	50	50
57374	True	-887272	887272	0	0	12	11	300	300	300
57374	True	-887272	887272	10	10	12	11	300	300	300
57374	True	-887272	887272	10	10	12	11	300	300	300
56967	False	0	0	0	0	0	0	0	0	0
57418	False	0	0	0	0	4	3	0	0	0
57418	True	-887272	887272	0	0	4	3	1000	500	500
57482	False	0	0	0	0	1	0	0	0	0
57509	False	0	0	0	0	0	0	0	0	0
57557	False	0	0	0	0	4	3	0	0	0
57581	True	-887272	887272	0	0	2	1	100	50	50
57557	True	-887272	887272	15	15	4	3	100	50	50
57653	False	0	0	0	0	0	0	0	0	0
57661	False	0	0	0	0	1	1	0	0	0
57661	False	0	0	0	0	1	1	0	0	0
57661	False	0	0	0	0	1	1	0	0	0
57661	True	-887272	887272	0	0	1	1	100	100	100
57754	True	-887272	887272	0	0	2	2	100	50	50
57786	False	0	0	0	0	3	3	0	0	0
57825	False	0	0	0	0	0	0	0	0	0
57872	False	0	0	0	0	0	0	0	0	0
57953	False	0	0	0	0	1	0	0	0	0
56763	True	-887272	887272	0	0	4	3	2000	50	50
57968	False	0	0	0	0	0	0	0	0	0
58010	False	0	0	0	0	9	8	0	0	0
58053	True	-887272	887272	0	0	15	14	100	50	50
58096	False	0	0	0	0	0	0	0	0	0
58144	True	-887272	887272	0	0	3	2	2000	50	50
58169	False	0	0	0	0	0	0	0	0	0
58183	False	0	0	0	0	0	0	0	0	0
58260	False	0	0	0	0	0	0	0	0	0
58292	False	0	0	0	0	0	0	0	0	0
58301	True	-887272	887272	0	0	0	0	100	100	100
58301	True	-887272	887272	0	0	0	0	300	300	300
58311	False	0	0	0	0	0	0	0	0	0
58301	True	-887272	887272	0	0	0	0	300	300	300
58372	False	0	0	0	0	0	0	0	0	0
57557	True	-887272	887272	15	15	4	3	100	50	100
58398	True	-887272	887272	15	15	4	3	100	50	100
58398	True	-887272	887272	20	20	4	3	100	50	50
58489	True	-887272	887272	0	0	1	1	100	50	50
58525	False	0	0	0	0	0	0	0	0	0
58557	False	0	0	0	0	0	0	0	0	0
58637	False	0	0	0	0	0	0	0	0	0
58677	False	0	0	0	0	0	0	0	0	0
58712	False	0	0	0	0	0	0	0	0	0
58740	False	0	0	0	0	0	0	0	0	0
58753	False	0	0	0	0	0	0	0	0	0
58753	False	0	0	0	0	0	0	0	0	0
58813	True	-887272	887272	0	0	0	0	2500	2500	300
58836	False	0	0	0	0	0	0	0	0	0
58880	True	-887272	887272	0	0	2	1	100	50	50
58921	True	-887272	887272	0	0	0	0	2500	2500	300
58922	False	0	0	0	0	0	0	0	0	0
58957	True	-887272	887272	0	0	4	3	2000	50	50
58971	True	-887272	887272	0	0	0	0	2500	2500	300
58398	True	-887272	887272	0	0	4	3	100	50	50
59032	True	-887272	887272	0	0	13	12	100	50	50
59036	True	-887272	887272	0	0	51	51	100	50	50
59081	True	-887272	887272	500	500	10	9	100	100	100
59125	True	-887272	887272	0	0	0	0	2500	2500	300
59130	False	0	0	0	0	0	0	0	0	0
59132	True	-887272	887272	0	0	4	3	1000	500	500
59138	False	0	0	0	0	0	0	0	0	0
59140	False	0	0	0	0	9	8	0	0	0
59144	True	-887272	887272	0	0	27	2	100	50	50
59158	True	-887272	887272	0	0	2	2	100	50	50
59162	True	-887272	887272	0	0	4	3	2000	50	50
59171	True	-887272	887272	0	0	0	0	2500	2500	300
59032	True	-887272	887272	20	20	13	12	100	50	50
59195	True	-887272	887272	0	0	4	3	1000	500	500
59196	True	-887272	887272	0	0	0	0	2500	2500	300
59199	True	-887272	887272	20	20	6	5	100	50	50
59208	True	-887272	887272	0	0	2	1	100	50	50
59217	True	-887272	887272	0	0	0	0	2500	2500	300
59265	True	-887272	887272	0	0	0	0	2500	2500	300
59297	True	-887272	887272	0	0	0	0	2500	2500	300
59341	False	0	0	0	0	0	0	0	0	0
59350	False	0	0	0	0	5	4	0	0	0
59379	True	-887272	887272	0	0	4	3	100	50	50
59429	False	0	0	0	0	0	0	0	0	0
59437	True	-887272	887272	0	0	4	3	2000	50	50
59439	True	-887272	887272	0	0	0	0	2500	2500	300
59447	True	-887272	887272	0	0	0	0	2500	2500	300
59490	True	-887272	887272	0	0	6	5	100	50	50
59497	True	-887272	887272	0	0	0	0	2500	2500	300
59502	True	-887272	887272	0	0	0	0	2500	2500	300
59527	True	-887272	887272	0	0	0	0	2500	2500	300
59566	True	-887272	887272	0	0	2	1	100	50	50
59567	True	-887272	887272	0	0	0	0	2500	2500	300
59610	True	-887272	887272	0	0	0	0	2500	2500	300
59638	True	-887272	887272	0	0	4	3	1000	500	500
59640	True	-887272	887272	0	0	0	0	2500	2500	300
59699	True	-887272	887272	0	0	2	1	100	50	50
59701	True	-887272	887272	0	0	0	0	2500	2500	300
59732	True	-887272	887272	0	0	0	0	2500	2500	300
59742	True	-887272	887272	0	0	0	0	2500	2500	300
48440	False	0	0	0	0	0	0	0	0	0
59771	True	-887272	887272	0	0	0	0	2500	2500	300
59778	True	-887272	887272	-10	-10	1	0	1000	300	300
59810	True	-887272	887272	0	0	0	0	2500	2500	300
59823	True	-887272	887272	0	0	5	4	100	50	50
59824	True	-887272	887272	0	0	0	0	2500	2500	300
59839	True	-887272	887272	0	0	2	1	100	50	50
59935	False	0	0	0	0	1	0	0	0	0
57768	False	0	0	0	0	0	0	0	0	0
60008	False	0	0	0	0	4	3	0	0	0
60014	True	-887272	887272	0	0	0	0	300	300	300
59935	False	0	0	0	0	1	0	0	0	0
60046	True	-887272	887272	0	0	4	3	1000	500	500
60048	True	-887272	887272	0	0	0	0	300	300	300
60183	True	-887272	887272	0	0	1	0	300	300	300
60216	False	0	0	0	0	0	0	0	0	0
60216	True	-887272	887272	10	10	0	1	100	50	50
60254	True	-887272	887272	0	0	1	0	300	300	300
60265	True	-887272	887272	0	0	6	5	100	50	50
60268	True	-887272	887272	10	10	0	1	100	50	50
60429	True	-887272	887272	0	0	4	3	1000	500	500
60482	False	0	0	0	0	0	0	0	0	0
60494	False	0	0	0	0	4	3	0	0	0
60581	True	-887272	887272	0	0	12	11	100	300	300
60595	True	-887272	887272	0	0	1	1	1000	500	500
60724	False	0	0	0	0	1	1	0	0	0
60750	False	0	0	0	0	20	20	0	0	0
60781	True	-887272	887272	0	0	7	6	100	50	50
60796	False	0	0	0	0	2	2	0	0	0
60798	True	-887272	887272	0	0	7	7	300	50	50
60806	False	0	0	0	0	0	0	0	0	0
60913	True	-887272	887272	0	0	0	0	2500	2500	300
60916	False	0	0	0	0	0	0	0	0	0
60934	True	-887272	887272	0	0	0	0	2500	2500	300
60951	False	0	0	0	0	0	0	0	0	0
60958	True	-887272	887272	0	0	0	0	2500	2500	300
60951	True	-887272	887272	0	0	0	0	300	300	300
60951	True	-887272	887272	0	0	0	0	300	300	300
60982	True	-887272	887272	0	0	6	5	100	100	100
61076	True	-887272	887272	0	0	3	2	300	50	50
61168	False	0	0	0	0	0	0	0	0	0
59846	False	0	0	0	0	0	0	0	0	0
61258	False	0	0	0	0	8	7	0	0	0
61261	False	0	0	0	0	2	1	0	0	0
61267	True	-887272	887272	0	0	4	1	1000	500	500
61273	True	-887272	887272	0	0	8	7	1000	500	500
60516	False	0	0	0	0	0	0	0	0	0
61286	False	0	0	0	0	1	1	0	0	0
61339	False	0	0	0	0	0	0	0	0	0
